turning_type,date,price,smooth_detection_date,smooth_detection_price,parameter_set,method
trough,2026-01-10,158.9319526627219,2026-01-10,160.9653586010533,default_v1,station_day_mean_equal_weight
peak,2026-01-28,187.88192056905748,2026-01-27,184.21182071710402,default_v1,station_day_mean_equal_weight
trough,2026-02-17,155.45125164690384,2026-02-14,157.49564075546112,default_v1,station_day_mean_equal_weight
trough,2025-04-19,158.2,2025-04-20,160.37142857142857,default_v1,station_day_median
peak,2025-05-01,199.9,2025-04-30,195.67142857142858,default_v1,station_day_median
trough,2025-05-31,153.45,2025-05-29,155.57142857142858,default_v1,station_day_median
peak,2025-06-10,199.9,2025-06-12,189.42857142857142,default_v1,station_day_median
trough,2025-06-30,163.9,2025-06-30,165.5,default_v1,station_day_median
peak,2025-07-08,202.9,2025-07-10,194.95714285714286,default_v1,station_day_median
trough,2025-07-30,155.9,2025-07-29,157.75714285714284,default_v1,station_day_median
peak,2025-08-09,191.9,2025-08-07,189.4714285714286,default_v1,station_day_median
trough,2025-08-28,163.9,2025-08-29,165.35714285714286,default_v1,station_day_median
peak,2025-09-16,196.9,2025-09-13,191.54285714285714,default_v1,station_day_median
trough,2025-10-11,158.9,2025-10-08,163.94285714285712,default_v1,station_day_median
peak,2025-10-13,202.3,2025-10-15,198.05714285714288,default_v1,station_day_median
trough,2025-11-11,165.9,2025-11-08,169.32857142857142,default_v1,station_day_median
peak,2025-11-20,204.9,2025-11-21,198.3,default_v1,station_day_median
trough,2025-12-06,165.9,2025-12-03,169.32857142857142,default_v1,station_day_median
peak,2025-12-18,207.9,2025-12-17,201.24285714285716,default_v1,station_day_median
trough,2026-01-13,157.9,2026-01-14,158.58571428571426,default_v1,station_day_median
peak,2026-01-22,189.9,2026-01-25,188.01428571428573,default_v1,station_day_median
trough,2026-02-17,153.9,2026-02-18,154.54285714285714,default_v1,station_day_median
trough,2025-04-16,163.7767175572519,2025-04-14,165.33277578541149,default_v1,update_event_mean
peak,2025-05-02,194.6845953002611,2025-05-02,191.91979978388784,default_v1,update_event_mean
trough,2025-05-21,158.2659375,2025-05-20,160.81767413872146,default_v1,update_event_mean
peak,2025-06-10,195.09715762273905,2025-06-12,188.02845131031225,default_v1,update_event_mean
trough,2025-06-29,166.5,2025-06-27,171.82217225753135,default_v1,update_event_mean
peak,2025-07-09,198.90671641791045,2025-07-10,192.8956018905707,default_v1,update_event_mean
trough,2025-07-27,158.68522727272727,2025-07-24,162.4258832095918,default_v1,update_event_mean
peak,2025-08-07,189.79058823529414,2025-08-09,186.33556926899783,default_v1,update_event_mean
trough,2025-08-28,165.9061224489796,2025-08-27,166.78753269926233,default_v1,update_event_mean
peak,2025-09-16,195.02193211488253,2025-09-14,190.11585772144105,default_v1,update_event_mean
trough,2025-10-01,166.48716577540108,2025-10-03,167.42343864363482,default_v1,update_event_mean
peak,2025-10-18,196.35676328502416,2025-10-16,191.4619832192444,default_v1,update_event_mean
trough,2025-11-06,170.72468085106385,2025-11-05,172.13793871971035,default_v1,update_event_mean
peak,2025-11-20,201.25132743362832,2025-11-21,196.0190544525837,default_v1,update_event_mean
trough,2025-12-03,169.43059701492538,2025-12-03,172.202290012271,default_v1,update_event_mean
peak,2025-12-18,202.37649484536084,2025-12-17,196.60647522074402,default_v1,update_event_mean
trough,2026-01-10,159.45353535353536,2026-01-10,161.00946508753736,default_v1,update_event_mean
peak,2026-01-28,188.4230593607306,2026-01-27,184.08358376676375,default_v1,update_event_mean
trough,2026-02-17,155.9160237388724,2026-02-14,157.2374852313197,default_v1,update_event_mean
