cycle_id,start_trough_date,start_trough_price,peak_date,peak_price,end_trough_date,end_trough_price,total_duration_days,rise_duration_days,decline_duration_days,rise_amplitude_cpl,decline_amplitude_cpl,rise_or_recovery_speed_cpl_per_day,decline_speed_cpl_per_day,method,parameter_set,completeness_flag
reconstructed_eod_panel_cap7_01,2025-04-16,165.875,2025-04-30,194.9238663484487,2025-05-21,158.35885714285712,35,14,21,29.048866348448712,36.56500920559159,2.0749190248891938,1.7411909145519806,reconstructed_eod_panel_cap7,default_v1,complete
reconstructed_eod_panel_cap7_02,2025-05-21,158.35885714285712,2025-06-10,193.0830578512397,2025-06-22,172.7012219959267,32,20,12,34.72420070838257,20.381835855313,1.7362100354191283,1.6984863212760832,reconstructed_eod_panel_cap7,default_v1,complete
reconstructed_eod_panel_cap7_03,2025-06-22,172.7012219959267,2025-07-08,200.81296703296707,2025-07-27,160.5943820224719,35,16,19,28.11174503704038,40.21858501049516,1.7569840648150237,2.1167676321313245,reconstructed_eod_panel_cap7,default_v1,complete
reconstructed_eod_panel_cap7_04,2025-07-27,160.5943820224719,2025-08-06,190.59430894308946,2025-08-28,165.88771593090212,32,10,22,29.999926920617554,24.70659301218734,2.9999926920617552,1.1230269550994245,reconstructed_eod_panel_cap7,default_v1,complete
reconstructed_eod_panel_cap7_05,2025-08-28,165.88771593090212,2025-09-10,196.0133484162896,2025-10-03,166.3858620689655,36,13,23,30.125632485387484,29.627486347324094,2.3173563450298067,1.288151580318439,reconstructed_eod_panel_cap7,default_v1,complete
reconstructed_eod_panel_cap7_06,2025-10-03,166.3858620689655,2025-10-15,195.6307855626327,2025-11-04,170.03675564681723,32,12,20,29.244923493667187,25.59402991581547,2.437076957805599,1.2797014957907735,reconstructed_eod_panel_cap7,default_v1,complete
reconstructed_eod_panel_cap7_07,2025-11-04,170.03675564681723,2025-11-18,202.00448430493273,2025-12-03,169.03671586715868,29,14,15,31.967728658115504,32.967768437774055,2.283409189865393,2.197851229184937,reconstructed_eod_panel_cap7,default_v1,complete
reconstructed_eod_panel_cap7_08,2025-12-03,169.03671586715868,2025-12-14,201.63071895424838,2026-01-11,159.2390243902439,39,11,28,32.5940030870897,42.39169456400447,2.9630911897354277,1.5139890915715881,reconstructed_eod_panel_cap7,default_v1,complete
reconstructed_eod_panel_cap7_09,2026-01-11,159.2390243902439,2026-01-26,186.70419753086423,2026-02-17,157.72256728778467,37,15,22,27.465173140620323,28.981630243079564,1.8310115427080216,1.3173468292308892,reconstructed_eod_panel_cap7,default_v1,complete
station_day_last_mean_01,2025-04-16,163.65343137254902,2025-05-02,194.75206896551722,2025-05-21,157.67142857142858,35,16,19,31.098637592968203,37.08064039408865,1.9436648495605127,1.951612652320455,station_day_last_mean,default_v1,complete
